capacity,vehicles_available,capacity_free,hour,temp,hum,percp,wspeed
20,8,12,11,21.8,76.0,0.3,2.5
20,7,13,12,21.9,72.0,0.3,3.7
20,6,14,13,21.0,77.0,0.6,3.8
20,0,20,14,20.5,78.0,1.9,1.8
20,5,15,15,20.6,80.0,2.4,1.8
20,6,14,16,21.0,78.0,0.4,2.0
20,6,14,17,20.3,81.0,0.0,7.9
20,4,16,18,19.3,84.0,0.2,4.4
20,4,16,19,17.3,89.0,0.0,2.9
20,6,14,20,16.0,94.0,0.0,3.5
20,7,13,21,15.3,95.0,0.1,6.6
20,3,17,22,15.9,93.0,0.2,4.2
20,5,15,23,13.5,100.0,0.1,3.1
20,5,15,0,13.3,99.0,0.0,4.9
20,4,16,1,12.9,100.0,0.0,4.5
20,4,16,3,11.6,99.0,0.0,4.1
20,4,16,4,11.7,98.0,0.0,4.1
20,4,16,5,13.1,97.0,0.0,4.1
20,4,16,6,14.8,97.0,0.0,4.5
20,8,12,7,17.1,91.0,0.0,3.3
20,18,2,8,18.9,84.0,0.1,2.9
20,19,1,9,20.8,71.0,0.1,1.1
20,6,14,10,21.7,64.0,0.1,4.9
20,5,15,11,22.4,61.0,0.1,5.2
20,6,14,12,22.8,60.0,0.0,4.9
20,0,20,13,23.0,60.0,0.0,5.8
20,2,18,14,22.7,61.0,0.0,6.2
20,6,14,15,22.0,65.0,0.9,4.0
20,5,15,16,21.4,69.0,0.3,4.6
20,4,16,17,20.9,73.0,0.1,3.2
20,8,12,18,20.3,79.0,0.0,1.5
20,5,15,19,18.9,86.0,0.0,2.9
20,8,12,20,18.0,89.0,0.3,1.9
